nombre,codigo,descripcion,tipo_unidad,tipo
BROCA PARA ROTOMARTILLO ,H1423,BROCA PARA ROTOMARTILLO ,UND,Inventario
TACOS REFZ 1/4 X 2 1/2,H1424,TACOS REFZ 1/4 X 2 1/2,UND,Inventario
PERNO EXPANSIVO 3/8X 3 FICHER,H1425,PERNO EXPANSIVO 3/8X 3 FICHER,UND,Inventario
"NEPLO  BRG 3/4X1/2"" (NR-3215)",H1426,"NEPLO  BRG 3/4X1/2"" (NR-3215)",UND,Inventario
"NEPLO AC 1X8""",H1427,"NEPLO AC 1X8""",UND,Inventario
CAJA CONTROL  N-CONTRA C SWJ-CB PARA PISCINA,H1428,CAJA CONTROL  N-CONTRA C SWJ-CB PARA PISCINA,UND,Inventario
TERMOTANQUE DE 50 LITOS,H1429,TERMOTANQUE DE 50 LITOS,UND,Inventario
"CAJA VALVULA REDONDA 6""",H1430,"CAJA VALVULA REDONDA 6""",UND,Inventario
"VALVULA PI BR 1"" ITALY",H1431,"VALVULA PI BR 1"" ITALY",UND,Inventario
GABINETE H/N 60X60X22 EMPOTRABLE,H1432,GABINETE H/N 60X60X22 EMPOTRABLE,UND,Inventario
